Attribute,Keyword Value,Syntax,Type,Reference
printer-state-reasons,puncher-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,puncher-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,resuming,1setOf type2 keyword,,[PWG5100.22]
printer-state-reasons,scan-media-path-failure,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-input-empty,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-input-feed-error,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-input-jam,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-input-request,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-jam,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-output-feed-error,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-output-full,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-output-jam,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-pick-roller-failure,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-pick-roller-life-over,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-pick-roller-life-warn,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-pick-roller-missing,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-tray-almost-full,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-tray-full,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scan-media-path-tray-missing,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-light-failure,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-light-life-almost-over,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-light-life-over,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-light-missing,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-sensor-failure,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-sensor-life-almost-over,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-sensor-life-over,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,scanner-sensor-missing,1setOf type2 keyword,,[PWG5107.3]
printer-state-reasons,separation-cutter-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,separation-cutter-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,sheet-rotator-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,shutdown,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,slitter-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,slitter-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,spool-area-full,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,stacker-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stacker-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,standby,1setOf type2 keyword,,[PWG5106.4]
printer-state-reasons,stapler-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stapler-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stitcher-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,stopped-partly,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,stopping,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,subunit-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-cooling-down,1setOf type2 keyword,,[HPINC20180215]
printer-state-reasons,subunit-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-timing-Failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-unrecoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,subunit-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,suspend,1setOf type2 keyword,,[PWG5106.4]
printer-state-reasons,testing,1setOf type2 keyword,,[PWG5100.22]
printer-state-reasons,timed-out,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,toner-empty,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,toner-low,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,trimmer-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,trimmer-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,unknown,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,wrapper-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,wrapper-almost-empty,1setOf type2 keyword,,[PWG5100.9]
